,method,observation_sequence,n_states,time,log_prob
20290,random_only,1,12,0.0004605000140145421,-8.168798472631039
20291,ga_only,1,12,0.883590100100264,-3.1229162171419818
20292,bw_only,1,12,0.001445000059902668,-1.386386607136109
20293,ga_and_bw,1,12,0.869712800020352,0.0
20294,random_only,1,12,0.0005266000516712666,-12.03423249224187
20295,ga_only,1,12,0.8729008999653161,-3.826359384587274
20296,bw_only,1,12,0.0016736999386921525,-1.3862943721501972
20297,ga_and_bw,1,12,0.9020190000301227,-1.3855752214384682
20298,random_only,1,12,0.0005872000474482775,-6.766682853612243
20299,ga_only,1,12,0.9213909000391141,-3.269960222467011
20300,bw_only,1,12,0.001493500079959631,-1.3862950395716602
20301,ga_and_bw,1,12,0.7700988000724465,-1.3862705383460212
20302,random_only,1,12,0.0004504999378696084,-7.358299929505921
20303,ga_only,1,12,0.9048316000262275,-3.0000061176992525
20304,bw_only,1,12,0.001721200067549944,-1.386294381105413
20305,ga_and_bw,1,12,0.9217788999667391,-1.386413910653546
20306,random_only,1,12,0.0006883000023663044,-7.200755058374526
20307,ga_only,1,12,0.954345399979502,-3.575065400152278
20308,bw_only,1,12,0.0020178999984636903,-1.3863905792854936
20309,ga_and_bw,1,12,0.9305034000426531,-1.3866238437929665
20310,random_only,1,12,0.00046659994404762983,-6.9230454621611415
20311,ga_only,1,12,0.8983722999691963,-3.2798490414445665
20312,bw_only,1,12,0.00134680001065135,-5.041324434181094e-06
20313,ga_and_bw,1,12,0.8710182999493554,-1.386300519533116
20314,random_only,1,12,0.00048429996240884066,-11.14286902132931
20315,ga_only,1,12,0.8794597999658436,-3.234409987926205
20316,bw_only,1,12,0.0013985000550746918,-4.375283429234938e-08
20317,ga_and_bw,1,12,0.9039988000877202,-0.0003044809458198957
20318,random_only,1,12,0.00046790007036179304,-8.199940759093831
20319,ga_only,1,12,0.8745394999859855,-3.492206788956015
20320,bw_only,1,12,0.0015515000559389591,-3.042639473244267e-10
20321,ga_and_bw,1,12,0.8748396999435499,-2.2204460492503128e-16
20322,random_only,1,12,0.0008631999371573329,-8.048547467707932
20323,ga_only,1,12,0.8753506999928504,-3.462853039583622
20324,bw_only,1,12,0.0015688999556005,-1.386294387899217
20325,ga_and_bw,1,12,0.9150571000063792,-1.3862944400503288
20326,random_only,1,12,0.00044049997813999653,-7.136983824335654
20327,ga_only,1,12,0.8759611999848858,-3.4997804188379074
20328,bw_only,1,12,0.00190069992095232,-1.3862943619082981
20329,ga_and_bw,1,12,0.8730389999691397,7.395570986446986e-32
20330,random_only,1,12,0.0004400999750941992,-8.423028760576614
20331,ga_only,1,12,0.893365400028415,-2.86888748087395
20332,bw_only,1,12,0.001470700022764504,-1.3862943611201506
20333,ga_and_bw,1,12,0.887364000082016,-1.3864653538589495
20334,random_only,1,12,0.0005112000508233905,-8.372647110747454
20335,ga_only,1,12,0.8773846999974921,-3.032441569408854
20336,bw_only,1,12,0.0015156000154092908,-1.386300118587607
20337,ga_and_bw,1,12,0.8964832000201568,-1.3862941125154222
20338,random_only,1,12,0.0005339999916031957,-7.1721301360122425
20339,ga_only,1,12,0.9261490000644699,-3.2954214166390887
20340,bw_only,1,12,0.001919599948450923,-1.387060080001003
20341,ga_and_bw,1,12,0.9137863999931142,-1.3864103690906586
20342,random_only,1,12,0.000484699965454638,-8.033368039506774
20343,ga_only,1,12,0.8771500000730157,-3.03805653802593
20344,bw_only,1,12,0.0015061000594869256,-1.3862949622035297
20345,ga_and_bw,1,12,0.8670988000230864,-1.0265366334230143e-10
20346,random_only,1,12,0.00046360003761947155,-8.829580380695704
20347,ga_only,1,12,0.9075187999987975,-3.754177580545778
20348,bw_only,1,12,0.0014233000110834837,-3.3151259515303766e-13
20349,ga_and_bw,1,12,0.9354614000767469,-1.386294361120479
20350,random_only,1,12,0.0004388000816106796,-7.268312170489486
20351,ga_only,1,12,0.7814784999936819,-3.612167702112363
20352,bw_only,1,12,0.0014739000471308827,-1.3863142437670115
20353,ga_and_bw,1,12,0.8705583999399096,2.2204460492503136e-16
20354,random_only,1,12,0.0004705999745056033,-7.804440402408138
20355,ga_only,1,12,0.899305299972184,-3.4712790078366194
20356,bw_only,1,12,0.0015496000414714217,-1.3862945502063793
20357,ga_and_bw,1,12,0.9000125000020489,-1.386294419536896
20358,random_only,1,12,0.0005020000971853733,-6.9156708176690715
20359,ga_only,1,12,0.8918401999399066,-3.0221193808186513
20360,bw_only,1,12,0.0015329999150708318,-1.3862943619915116
